날짜,기사제목
 2023.04.26 10:50,"포스코퓨처엠, LG엔솔과 30조원 규모 양극소재 공급계약 체결"
 2023.04.26 10:48,"포스코퓨처엠, LG에너지솔루션과 30조2595억 규모 공급계약 체결"
 2023.04.26 10:47,"포스코퓨처엠, LG엔솔과 양극재 공급계약"
 2023.04.24 19:43,"포스코퓨처엠, 6000억원 투입...양극재 생산능력 4만6000톤 확대"
 2023.04.24 15:06,"포스코퓨처엠, 6148억원 투자해 양극재 공장 추가 건설"
 2023.04.24 14:29,"“묻고 더블로” 포스코퓨처엠, K배터리 양극재 캐파 확대"
 2023.04.24 14:15,"포스코퓨처엠, 2025년 하이니켈 양극재 캐파 4.6만톤 늘린다"
 2023.04.24 18:15,"포스코퓨처엠, 양극재 생산 연 4.6만t 확대"
 2023.04.24 18:10,포스코퓨처엠 음극재 2공장 증설 마무리... 포항에 NCMA 양극재 ...
 2023.04.24 15:13,"포스코퓨처엠, 6148억원 투자…양극재 생산능력 4만6000t 확대"
 2023.04.24 15:09,"포스코퓨처엠, 하이니켈 양극재 생산능력 4만6000톤 늘린다"
 2023.04.24 14:11,"""배터리 소재가 미래""...포스코퓨처엠, 포항에 4만6000t 양극재..."
 2023.04.24 14:01,"포스코퓨처엠, 양극재 6000억 투자 이사회 승인"
 2023.04.24 13:56,"포스코퓨처엠, 양극재 생산능력 4만6천t 추가 확대키로"
 2023.04.24 13:53,"포스코퓨처엠, 6148억 투자..하이니켈 양극재 4.6만t 확대"
 2023.04.24 13:49,"포스코퓨처엠, 6148억 양극재 제조설비 시설 투자"
 2023.04.24 13:32,"포스코퓨처엠, 양극재 제조설비 증설에 6148억 투자 결정"
 2023.04.24 13:30,"포스코퓨처엠, 양극재 제조설비 증설에 6184억 투자"
 2023.04.24 13:46,"포스코퓨처엠, 포항에 하이니켈 양극재 공장 짓는다"
 2023.04.24 11:05,포스코퓨처엠 “음극재 공장은 쉼없이 돌아간다”
 2023.04.24 09:20,"포스코퓨처엠, 녹색채권에 1조600억원 몰려…3000억 증액 발행"
 2023.04.23 15:13,포스코퓨처엠 음극재 세종공장 전경
