날짜,기사제목
 2023.05.31 11:01,포스코 제철소에 LG전자 로봇이 일한다
 2023.05.31 11:00,"포스코홀딩스·LG전자, '로봇·AI 스마트팩토리' 기술개발 협력"
 2023.05.31 16:52,"007가방서 등장한 이것…'LG전자, TV 틈새시장 캠핑족 위해 만들었..."
 2023.05.31 11:26,"LG전자, 포터블 스크린 ‘스탠바이미 고’ 출시"
 2023.05.31 10:00,"LG전자, 야외에서도 즐기는 스크린 '스탠바이미 고' 출시"
 2023.05.31 10:00,"LG전자, 신개념 포터블 스크린 ‘스탠바이미 고’ 출시"
 2023.05.31 16:42,"포스코홀딩스, LG전자와 맞손…“스마트 제철소 구축”"
 2023.05.31 11:23,"""스마트팩토리를 더 스마트하게"" 포스코홀딩스-LG전자 협력"
 2023.05.31 11:02,"포스코홀딩스-LG전자, 스마트팩토리 경쟁력 강화 위해 '맞손'"
 2023.05.31 11:00,포스코 제철소에 LG전자 로봇 활약…'스마트 공장' 만든다
 2023.05.31 11:00,포스코홀딩스·LG전자 스마트팩토리 고도화 맞손 잡았다
 2023.05.31 16:03,"삼성·LG전자, '52주 신고가' 경신 후 숨고르기(종합)"
 2023.05.31 10:04,"삼성·LG전자, '52주 신고가' 경신 후 숨고르기"
 2023.05.31 15:38,"[특징주] 삼성전자·LG전자, 1%대 하락 마감…장중 52주 신고가(종..."
 2023.05.31 09:32,"[특징주] 삼성전자·LG전자, 또 52주 신고가…약보합 전환"
 2023.05.31 15:34,LG전자 'CPU 전설'과 맞손…TV·전장용 AI칩 개발 가속
 2023.05.31 15:34,"LG전자, 텐스토렌트와 AI 칩 개발 맞손"
 2023.05.31 01:58,"LG전자, 캐나다 스타트업과 손잡고 AI칩 개발 나선다"
 2023.05.31 10:13,"KB證 ""애플카 기대에 LG 전자계열사 주가 급등"""
 2023.05.31 10:10,"""캠핑에도 TV 들고 가세요"" LG전자, '스탠바이미 고' 출시"
 2023.05.31 10:01,"가방 열면 TV가…LG전자, 신개념 'LG 스탠바이미 고' 출시"
 2023.05.31 10:01,"LG전자, 가방 안에 넣어다니는 TV ‘스탠바이미 GO’ 출시"
 2023.05.31 10:00,"""TV들고 소풍가요"" LG전자, '스탠바이미 Go' 출시"
 2023.05.31 10:00,"""들고 다니며 본다""…LG전자 포터블 스크린 '스탠바이미 고' 출시"
 2023.05.31 10:08,"LG전자, 신개념 포터블 스크린 '스탠바이미 Go' 출시"
 2023.05.31 10:02,"""캠핑갈 때 TV 챙기세요"" LG전자, '스탠바이미 Go' 출시"
 2023.05.31 10:00,"LG전자, 'LG 스탠바이미(StanbyME) Go' 출시"
 2023.05.31 10:00,"LG전자, 'LG 스탠바이미(StanbyME) Go' 출시"
