날짜,기사제목
 2023.05.18 09:08,"LG에너지솔루션, 혁신 특허 출원한 사내 '발명왕' 선발해 포상"
 2023.05.18 08:58,"LG에너지솔루션, ‘발명왕 포상’ 도입…“지식재산권 경쟁력 강화”"
 2023.05.18 08:35,"LG엔솔, 임직원 대상 '배터리 기술 발명왕·출원왕' 첫 포상"
 2023.05.18 08:29,"LG엔솔, 발명왕 시상식…이택수 전극기술센터 팀장 ‘금상’"
 2023.05.17 18:13,LG엔솔 전기車 합작공장 건설 중단… 加 주-연방정부 마찰에 장기화 우...
 2023.05.17 16:25,LG엔솔-스텔란티스 합작공장 건설 중단 장기화 우려..加 정부간 핑퐁...
 2023.05.17 14:35,"""加 혁신부 장관, 韓 국빈만찬서 LG엔솔 대표 만남 기대"""
 2023.05.17 10:18,"배터리 공급망 세계 2위 캐나다, 보조금 ‘차별’…LG엔솔 재협상 카..."
 2023.05.17 10:12,"캐나다, LG엔솔 합작공장 지원 확대…주정부에 분담 요구"
 2023.05.17 07:51,캐나다 트뤼도 총리 방한…LG엔솔 배터리공장 공사는?
 2023.05.16 20:10,"LG엔솔, 캐나다 배터리 합작공장 중단"
 2023.05.16 18:23,"‘한국 방문’ 트뤼도 총리, LG엔솔과 보조금 담판 짓나"
 2023.05.16 18:12,LG엔솔-스텔란티스 加합작공장 건설 중단
 2023.05.16 17:42,"스텔란티스·LG엔솔, 加공장 건설 전면중단"
 2023.05.16 17:32,"LG엔솔, 스텔란티스 캐나다 배터리 합작공장 건설 ‘중단’"
 2023.05.16 17:20,"LG엔솔-스텔란티스, 캐나다 배터리 합작공장 건설 중단"
 2023.05.16 17:09,"LG엔솔-스텔란티스 캐나다 배터리 합작공장, 건설 중단"
 2023.05.16 16:45,"LG엔솔 ""공장 건설 중단"" 강수 뒀다…캐나다의 '보조금' 식언 사태"
 2023.05.16 16:34,"스텔란티스·LG엔솔, 加공장 건설 중단…""트뤼도, 이번 주 방한"""
 2023.05.16 16:14,"LG엔솔-스텔란티스, 배터리 합작공장 건설 중단"
 2023.05.16 16:06,"LG엔솔-스텔란티스, 캐나다 배터리 합작공장 건설 중단"
 2023.05.16 14:06,"""캐나다 총리, G7 앞두고 한국 방문해 LG엔솔 긴급 회동"""
 2023.05.16 08:54,"LG엔솔·삼성SDI·SK온, 모두 ‘LFP 배터리’에 눈 돌리는 이유"
 2023.05.14 15:33,"LG엔솔-스텔란티스, 캐나다 배터리 공장 투자 유치 난항"
 2023.05.14 15:28,스텔란티스·LG엔솔 캐나다 배터리 공장 투자 협상 차질
 2023.05.12 15:54,[코스피 마감]네이버 오르고 LG엔솔 내리고…소폭 하락
 2023.05.11 08:11,"신한證 ""에이프로, LG에너지솔루션 투자 직접 수혜"""
 2023.05.10 17:56,"믿을 건 실적뿐…""현대차·LG엔솔 주목"""
 2023.05.09 13:26,"LG에너지솔루션 ""美 배터리 공장 확정된 사항 없어""[주목 e공시]"
 2023.05.09 11:52,"LG에너지솔루션 ""美 배터리 공장, 확정 사항 없어"""
 2023.05.08 21:46,에코프로 부담? LG엔솔·삼성SDI 보라 [가파르게 오른 2차전지주]
 2023.05.08 17:40,"LG엔솔, 1분기 中 제외 시장점유율 1위…2위 中CATL '맹추격'"
 2023.05.08 17:03,"LG엔솔, '중국 제외' 글로벌 1위 수성…中 업체 무서운 상승세"
 2023.05.08 16:44,"K배터리 3사, 1분기 시장점유율 49%… LG엔솔 1위"
 2023.05.08 16:05,"K-배터리 3사, 1분기 시장점유율 49.0%…LG엔솔 1위"
 2023.05.08 10:49,"LG엔솔, 중국 제외 글로벌시장서 ‘훨훨’ 날았다"
 2023.05.08 10:16,"LG엔솔-CATL, 非중국 시장에서도 격차 줄었다"
 2023.05.08 09:34,"LG엔솔, 中 시장 제외한 글로벌 전기차 배터리 ‘1위’"
 2023.05.08 17:36,"[단독] 현대차·LG엔솔, 이달 美배터리 공장 확정"
 2023.05.08 17:29,LG엔솔의 이색 봉사 …'미스터리 나눔버스'
 2023.05.08 15:34,LG엔솔 MZ직원들의 이색 봉사활동…‘미스터리 나눔버스’
 2023.05.06 11:01,"‘테슬라 빅뱅’ 올라탄 LG엔솔, 최대 파트너사 정조준 [김기혁의 테슬..."
 2023.05.05 08:00,"LG엔솔 '자신감', 삼성SDI '확장', SK온 '반전'…배터리3사 ..."
 2023.05.03 18:41,"LG엔솔, 1~3월 전 세계 전기차 배터리 점유율 3위…CATL 1위"
